numero_siafi;codigo_orgao;unidade_orcamentaria_nome;ano_empenho;numero_empenho;data_registro_doc_empenho;elemento_despesa_codigo;elemento_despesa_descricao;item_despesa_codigo;item_despesa_descricao;fonte_recurso_codigo;fonte_recurso_descricao;razao_social_proponente;cnpj_proponente;valor_pago_financeiro
743665;1261;SECRETARIA DE ESTADO DE EDUCACAO;2026;7;2026-02-02;43;SUBVENCOES SOCIAIS;1;SUBVENCOES SOCIAIS;21;COTA ESTADUAL DO SALARIO EDUCACAO - QESE;CE. PROFA INAH NOGUEIRA DE SA;41.779.414/0001-48;33788,86
743666;1261;SECRETARIA DE ESTADO DE EDUCACAO;2026;6;2026-02-02;43;SUBVENCOES SOCIAIS;1;SUBVENCOES SOCIAIS;21;COTA ESTADUAL DO SALARIO EDUCACAO - QESE;CX. ESC VIRGILIA PASCHOAL;17.421.215/0001-89;94070,02
743667;1261;SECRETARIA DE ESTADO DE EDUCACAO;2026;359;2026-04-15;43;SUBVENCOES SOCIAIS;1;SUBVENCOES SOCIAIS;21;COTA ESTADUAL DO SALARIO EDUCACAO - QESE;CE. SIMAO CIRINEU DE CASTRO;41.779.380/0001-91;27426,0
743668;1261;SECRETARIA DE ESTADO DE EDUCACAO;2026;41;2026-02-02;43;SUBVENCOES SOCIAIS;1;SUBVENCOES SOCIAIS;21;COTA ESTADUAL DO SALARIO EDUCACAO - QESE;CX. ESC DR. LUIZ PINTO DE ALMEIDA;19.372.853/0001-82;160401,6
743669;1261;SECRETARIA DE ESTADO DE EDUCACAO;2026;71;2026-02-02;43;SUBVENCOES SOCIAIS;1;SUBVENCOES SOCIAIS;21;COTA ESTADUAL DO SALARIO EDUCACAO - QESE;CX. ESC PROFA.JOANA RAMOS DE OLIVEIRA;19.805.175/0001-02;66354,02
743670;1261;SECRETARIA DE ESTADO DE EDUCACAO;2026;41;2026-02-02;43;SUBVENCOES SOCIAIS;1;SUBVENCOES SOCIAIS;21;COTA ESTADUAL DO SALARIO EDUCACAO - QESE;CX. ESC DE RANCHARIA;21.374.301/0001-55;53526,88
743671;1261;SECRETARIA DE ESTADO DE EDUCACAO;2026;53;2026-02-02;43;SUBVENCOES SOCIAIS;1;SUBVENCOES SOCIAIS;21;COTA ESTADUAL DO SALARIO EDUCACAO - QESE;CX. ESC JOAO XXIII;19.801.877/0001-00;84603,65
743672;1261;SECRETARIA DE ESTADO DE EDUCACAO;2026;12;2026-02-02;43;SUBVENCOES SOCIAIS;1;SUBVENCOES SOCIAIS;21;COTA ESTADUAL DO SALARIO EDUCACAO - QESE;CX. ESC ANTONIO VIEIRA MACHADO;18.889.329/0001-10;46300,29
743673;1261;SECRETARIA DE ESTADO DE EDUCACAO;2026;344;2026-04-15;43;SUBVENCOES SOCIAIS;1;SUBVENCOES SOCIAIS;21;COTA ESTADUAL DO SALARIO EDUCACAO - QESE;CX. ESC PADRE JOSE GONCALVES DE SOUZA;19.806.215/0001-22;69599,0
743674;1261;SECRETARIA DE ESTADO DE EDUCACAO;2026;742;2026-04-15;43;SUBVENCOES SOCIAIS;1;SUBVENCOES SOCIAIS;21;COTA ESTADUAL DO SALARIO EDUCACAO - QESE;CX. ESC CONS. AFONSO PENA;19.646.751/0001-08;70547,0
